year,title,published_at,updated_at,category,nominee,artist,workers,img,winner,nominee_length
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best pop performance by a duo or group with vocal,Guilty,Barbra Streisand & Barry Gibb,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Barbra%2BStreisand/Barbra%2520Streisand_1_1_1597142976.jpg?itok=QWDCDpvy,True,6
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best pop instrumental performance,One On One,Bob James & Earl Klugh,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Bob%2BJames/Bob%2520James_1_1_1581554509.jpg?itok=hUiNB4jk,True,10
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best rock vocal performance, female",Crimes Of Passion,Pat Benatar,Desconocido,Desconocido,True,17
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best rock vocal performance, male",Glass Houses,Billy Joel,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Billy%2BJoel/Billy%2520Joel_1_1_1578384978.jpg?itok=QtM7Q8fq,True,12
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best rock performance by a duo or group with vocal,Against The Wind,Bob Seger & The Silver Bullet Band,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Bob%2BSeger/Bob%2520Seger_1_1_1581551795.jpg?itok=ZuK6u856,True,16
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best rock instrumental performance,Reggatta De Blanc,The Police,Desconocido,Desconocido,True,17
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best r&b vocal performance, female",Never Knew Love Like This Before,Stephanie Mills,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Stephanie%2BMills/Stephanie%2520Mills_1_1_1599836028Muzooka.jpg?itok=FO6H8mgv,True,32
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best r&b vocal performance, male",Give Me The Night,George Benson,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/George%2BBenson/George%2520Benson_1_1_1578385429.jpg?itok=bzpUiUCb,True,17
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best r&b performance by a duo or group with vocal,Shining Star,Manhattans,Desconocido,Desconocido,True,12
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best r&b instrumental performance,Off Broadway,George Benson,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/George%2BBenson/George%2520Benson_1_1_1578385429.jpg?itok=bzpUiUCb,True,12
1978,21st Annual GRAMMY Awards  (1978),2017-11-28T00:03:45-08:00,2019-09-10T01:09:02-07:00,"best gospel performance, traditional",Refreshing,The Happy Goodman Family,Desconocido,Desconocido,True,10
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best rhythm & blues song,Never Knew Love Like This Before,Desconocido,"Reggie Lucas & James Mtume, songwriters (Stephanie Mills)",https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/James%2BMtume/James%2520Mtume_1_1_1581611022.jpg?itok=zMQDVVQr,True,32
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best jazz fusion performance, vocal or istrumental",Birdland,The Manhattan Transfer,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Manhattan%2BTransfer/Manhattan%2520Transfer_1_1_1589915024.jpg?itok=E-g0O95w,True,8
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best country vocal performance, female",Could I Have This Dance?,Anne Murray,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Anne%2BMurray/Anne%2520Murray_1_1_1581558822.jpg?itok=dBGIF4ua,True,24
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,"best country vocal performance, male",He Stopped Loving Her Today,George Jones,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/George%2BJones/George%2520Jones_1_1_1575365164.jpg?itok=Pjz_Fzc6,True,27
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best country performance duo or group,That Lovin' You Feelin' Again,Emmylou Harris & Roy Orbison,Desconocido,https://www.grammy.com/sites/com/files/styles/artist_circle/public/muzooka/Emmylou%2BHarris/Emmylou%2520Harris_1_1_1596198478.jpg?itok=wsJVpP65,True,29
1980,23rd Annual GRAMMY Awards  (1980),2017-11-28T00:03:45-08:00,2019-09-10T01:06:11-07:00,best country instrumental performance,Orange Blossom Special/Hoedown,Gilley'S Urban Cowboy Band,Desconocido,Desconocido,True,30
